station,latitude,longitude
Agia Marina,37.9972187,23.6673683
Agia Paraskevi,38.0166993,23.812654
Agia Varvara,37.997381,23.6674555
Agios Antonios,38.0066611,23.699481
Agios Dimitrios,37.940544,23.740716
Agios Eleftherios,38.0200234,23.7318433
Agios Ioannis,37.95674,23.7341678
Agios Nikolaos,38.006919,23.727711
Akropoli,37.96877,23.72962
Alimos,37.9181269,23.74417
Ampelokipoi,37.9871943,23.7570458
Ano Patisia,38.0220396,23.7388881
Anthoupoli,38.0170908,23.6911415
Argyroupoli,37.9030578,23.7459064
Attiki,37.9992951,23.7220981
Dafni,37.9492026,23.7372233
Dimotiko Theatro,37.94293529999999,23.647582
Doukissis Plakentias,38.0245781,23.8343758
Egaleo,37.9913422,23.6772488
Eleonas,37.98789379999999,23.6941769
Elliniko,37.8973965,23.7202997
Ethniki Amyna,37.9995014,23.7848002
Evangelismos,37.9760258,23.746623
Halandri,38.02191500000001,23.8211712
Holargos,38.00451899999999,23.794723
Ilioupoli,37.929805,23.7444262
Iraklio,38.04625,23.76607
Irini,38.0430391,23.7831002
Kallithea,37.9604041,23.6973321
KAT,38.0647606,23.8094779
Katehaki,37.995389,23.772667
Kato Patisia,38.011031,23.7291818
Kerameikos,37.9785433,23.7115372
Kifisia,38.0736817,23.8083101
Koropi,37.9011442,23.8726503
Korydallos,37.978924,23.6404679
Larissa Station,37.9915096,23.7211214
Maniatika,37.9596888,23.6399804
Marousi,38.056182,23.80498
Megaro Mousikis,37.979287,23.7529123
Metaxourgio,37.9867171,23.7210343
Monastiraki,37.9760854,23.7256256
Moschato,37.9443197,23.6781591
Neratziotissa,38.0450788,23.7931536
Nea Ionia,38.0413871,23.754801
Nea Filadelfia,38.0338654,23.7378191
Neos Kosmos,37.9570836,23.7270847
Nikaia,37.96571,23.647352
Nomismatokopio,38.00915450000001,23.8056977
Omonia,37.983281,23.7287449
Pallini,38.00351029999999,23.8835158
Panepistimio,37.9803782,23.7330586
Panormou,37.9931249,23.7636928
Peania-Kantza,37.98374,23.86988
Perissos,38.032728,23.74467
Peristeri,38.0131616,23.6955017
Petralona,37.9686198,23.7092682
Piraeus,37.9491115,23.6425196
Sepolia,38.00266999999999,23.7136
Sygrou-Fix,37.9645189,23.7266716
Syntagma,37.9745068,23.7352651
Tavros,37.9838096,23.7275388
Thissio,37.9767093,23.7207061
Victoria,37.9930561,23.7304093
